timestamp,action_type,item_id,source,user_answer,platform
1566620746548,enter,b2952,diagnosis,,mobile
1566620780862,respond,q4420,diagnosis,c,mobile
1566620788071,submit,b2952,diagnosis,,mobile
1566620788115,enter,b266,diagnosis,,mobile
1566620819176,respond,q266,diagnosis,a,mobile
1566620823910,submit,b266,diagnosis,,mobile
1566620823987,enter,b377,diagnosis,,mobile
1566620844727,respond,q377,diagnosis,a,mobile
1566620849088,submit,b377,diagnosis,,mobile
1566620849138,enter,b2170,diagnosis,,mobile
1566620892890,respond,q3638,diagnosis,d,mobile
1566620899769,submit,b2170,diagnosis,,mobile
1566620899817,enter,b3139,diagnosis,,mobile
1566620950530,respond,q4607,diagnosis,a,mobile
1566620959368,submit,b3139,diagnosis,,mobile
1566620959432,enter,b4644,diagnosis,,mobile
1566621122032,respond,q6112,diagnosis,a,mobile
1566621139031,submit,b4644,diagnosis,,mobile
1566621265533,enter,b4569,diagnosis,,mobile
1566621290963,respond,q6037,diagnosis,b,mobile
1566621296247,submit,b4569,diagnosis,,mobile
1567142177798,enter,b1498,tutor,,mobile
1567142288327,respond,q1692,tutor,b,mobile
1567142296983,submit,b1498,tutor,,mobile
